Statistics on Neighborhood data (source:CBS)
MunicipalityCode;Population;Children;Students;MobileAdults;NotMobileAdults;Elderly
0394;147905.0;25805.0;18480.0;34775.0;44705.0;24680.0
0384;29130.0;4430.0;4705.0;8245.0;7320.0;4615.0
0363;861750.0;126310.0;109150.0;311635.0;210555.0;108680.0
0385;36040.0;5805.0;4595.0;7845.0;10425.0;7525.0
0370;9735.0;1640.0;1110.0;2135.0;2945.0;1965.0
0415;11475.0;1965.0;1245.0;2400.0;3485.0;2420.0
0431;9750.0;1565.0;1165.0;2055.0;3025.0;1960.0
0439;80060.0;11885.0;9540.0;18690.0;24340.0;15805.0
0358;31710.0;5740.0;3700.0;7095.0;9440.0;5850.0
0852;17280.0;2750.0;1780.0;3200.0;5310.0;4170.0
0437;13900.0;2350.0;1670.0;2955.0;4125.0;2865.0
0451;29400.0;4885.0;3505.0;6890.0;8735.0;5450.0
0362;90740.0;16005.0;10760.0;23715.0;23335.0;17500.0
