WijkenEnBu,BU_CODE,cbs_l1_totalpo,cbs_l2_childre,cbs_l3_student,cbs_l4_mobile_,cbs_l5_not_mob,cbs_l6_elderly,cbs_l10_wester,cbs_l10_nonwes,cbs_l10_mar,cbs_l10_ant,cbs_l10_sur,cbs_l10_tur,ois_totalpop,ois_Children,ois_Students,ois_MobileAdul,ois_NotMobileA,ois_Elderly,ois_l10_sur,ois_l10_ant,ois_l10_mar,ois_l10_tur,ois_l10_wester,ois_l10_nonwes,ois_gc_2018_children,ois_gc1_2018_children,ois_gc_2018_elderly,ois_gc1_2018_elderly,ois_gc_2018_mar,ois_gc1_2018_mar,ois_gc_2018_mobile_adults,ois_gc1_2018_mobile_adults,ois_gc_2018_not_mobile_adults,ois_gc1_2018_not_mobile_adults,ois_gc_2018_students,ois_gc1_2018_students,ois_gc_2018_totalpop,ois_gc1_2018_totalpop,ois_gc_2018_tur,id,BuurtID,Buurtcode,Oppervlakt,Stadsdeelc,Wijkcode,ois_gc1_2018_tur
Oude Kerk e.o.,BU03630001,705.0,30.0,120.0,365.0,140.0,60.0,250.0,110.0,5.0,10.0,15.0,10.0,704.0,44.0,281.0,183.0,139.0,57.0,14.0,7.0,4.0,7.0,82.0,247.0,56.0,156.0,66.0,179.0,3.0,8.0,210.0,669.0,147.0,421.0,288.0,826.0,767.0,2251.0,2.0,0,03630000000079,A00b,92626.0,A,A00,4.0
Burgwallen Oost,BU03630002,1570.0,100.0,230.0,760.0,330.0,170.0,515.0,295.0,20.0,20.0,30.0,15.0,1573.0,128.0,509.0,443.0,326.0,167.0,32.0,18.0,17.0,14.0,213.0,513.0,103.0,218.0,140.0,290.0,9.0,14.0,398.0,844.0,285.0,616.0,468.0,907.0,1394.0,2875.0,2.0,414,03630000000080,A00c,72477.0,A,A00,8.0
Nes e.o.,BU03630003,350.0,25.0,60.0,185.0,65.0,30.0,125.0,35.0,0.0,5.0,5.0,5.0,352.0,26.0,127.0,109.0,64.0,26.0,2.0,2.0,1.0,3.0,28.0,122.0,28.0,50.0,33.0,50.0,,1.0,89.0,179.0,67.0,117.0,132.0,233.0,349.0,629.0,,1,03630000000081,A00d,57840.0,A,A00,5.0
BG-terrein e.o.,BU03630004,625.0,40.0,80.0,275.0,155.0,80.0,175.0,100.0,10.0,5.0,15.0,5.0,629.0,57.0,176.0,162.0,155.0,79.0,12.0,5.0,10.0,5.0,65.0,173.0,67.0,139.0,79.0,184.0,5.0,8.0,196.0,412.0,162.0,369.0,181.0,479.0,685.0,1583.0,4.0,2,03630000000082,A00e,101289.0,A,A00,10.0
Stationsplein e.o.,BU03630100,0.0,0.0,5.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,11.0,0.0,17.0,,,0.0,55.0,0.0,37.0,2.0,41.0,2.0,161.0,,3,03630000000083,A01a,260454.0,A,A01,
Hemelrijk,BU03630101,600.0,25.0,85.0,340.0,120.0,40.0,235.0,100.0,5.0,10.0,15.0,5.0,603.0,33.0,195.0,219.0,120.0,36.0,15.0,7.0,4.0,4.0,74.0,229.0,38.0,132.0,47.0,148.0,3.0,4.0,248.0,542.0,131.0,387.0,235.0,462.0,699.0,1671.0,,4,03630000000084,A01b,62958.0,A,A01,4.0
Kop Zeedijk,BU03630000,1035.0,45.0,100.0,575.0,250.0,75.0,340.0,175.0,5.0,10.0,25.0,10.0,1035.0,63.0,299.0,352.0,250.0,71.0,25.0,8.0,3.0,11.0,132.0,334.0,58.0,108.0,71.0,131.0,2.0,2.0,308.0,494.0,251.0,400.0,299.0,537.0,987.0,1670.0,1.0,413,03630000000078,A00a,80487.0,A,A00,2.0
Felix Meritisbuurt,BU03630202,2035.0,135.0,240.0,745.0,615.0,315.0,690.0,215.0,5.0,15.0,20.0,20.0,2037.0,202.0,435.0,478.0,611.0,311.0,19.0,14.0,5.0,21.0,156.0,688.0,200.0,350.0,335.0,495.0,5.0,11.0,480.0,799.0,618.0,946.0,433.0,704.0,2066.0,3294.0,5.0,12,03630000000094,A02c,203149.0,A,A02,6.0
Leidsegracht Noord,BU03630203,685.0,45.0,85.0,250.0,195.0,120.0,210.0,85.0,0.0,10.0,5.0,10.0,684.0,68.0,162.0,145.0,193.0,116.0,4.0,7.0,1.0,9.0,64.0,210.0,64.0,137.0,124.0,208.0,1.0,3.0,169.0,313.0,206.0,387.0,159.0,331.0,722.0,1376.0,,13,03630000000095,A02d,69132.0,A,A02,4.0
Spiegelbuurt,BU03630300,810.0,80.0,75.0,355.0,205.0,105.0,300.0,130.0,5.0,10.0,10.0,15.0,813.0,115.0,159.0,232.0,202.0,105.0,9.0,8.0,4.0,16.0,92.0,295.0,111.0,214.0,100.0,241.0,2.0,4.0,206.0,486.0,191.0,397.0,149.0,426.0,757.0,1764.0,3.0,14,03630000000097,A03a,94248.0,A,A03,9.0
