index,Buurtcode,ois_totalpop,ois_children,ois_students,ois_mobadults,ois_nmobadults,ois_elderly,ois_sur,ois_ant,ois_mar,ois_tur,ois_wester,ois_nonwes,ois_gc_2018_children,ois_gc1_2018_children,ois_gc_2018_elderly,ois_gc1_2018_elderly,ois_gc_2018_mar,ois_gc1_2018_mar,ois_gc_2018_mobadults,ois_gc1_2018_mobadults,ois_gc_2018_nmobadults,ois_gc1_2018_nmobadults,ois_gc_2018_students,ois_gc1_2018_students,ois_gc_2018_sur,ois_gc1_2018_sur,ois_gc_2018_totalpop,ois_gc1_2018_totalpop,ois_gc_2018_tur,id,ois_gc1_2018_tur,Buurtnaam,Wijkcode,Stadsdeelc,Oppervlakt,BuurtID,sdnaam,gebiedcode,gebiednaam,totalpop,Children,Students,MobileAdul,NotMobileA,Elderly,l10_sur,l10_ant,l10_tur,l10_mar,l10_wester,l10_nonwes,autoch,ois_gc2_l1_totalpop,ois_gc2_l2_children,ois_gc2_l3_students,ois_gc2_l4_mobile_adults,ois_gc2_l5_not_mobile_adults,ois_gc2_l6_elderly,ois_gc2_tur,ois_gc2_mar,ois_gc2_ant,ois_gc2_sur
0,A00b,704,44,281,183,139,57,14,7,4,7,82,247,56,156,66,179,3,8,210,669,147,421,288,826,8,26,767,2251,6,0,11,Oude Kerk e.o.,A00,A,92626,3.63E+12,A Centrum,A00b Oude Kerk e.o.,Oude Kerk e.o.,704,44,281,183,139,57,14,7,7,4,82,247,343,796.2746609,54.58450207,310.6329812,220.3949646,145.7852079,64.87700508,5.02059626,2.807908971,2.972919001,9.131023185
1,A00d,352,26,127,109,64,26,2,2,1,3,28,122,28,50,33,50,,1,89,179,67,117,132,233,1,2,349,629,,1,3,Nes e.o.,A00,A,57840,3.63E+12,A Centrum,A00d Nes e.o.,Nes e.o.,352,26,127,109,64,26,2,2,3,1,28,122,194,322.3567812,26.97963787,120.5232736,84.76725334,61.44877824,28.63783816,0.694855175,0.172632743,0.678026989,0.850659732
2,A00e,629,57,176,162,155,79,12,5,10,5,65,173,67,139,79,184,5,8,196,412,162,369,181,479,6,9,685,1583,8,2,14,BG-terrein e.o.,A00,A,101289,3.63E+12,A Centrum,A00e BG-terrein e.o.,BG-terrein e.o.,629,57,176,162,155,79,12,5,5,10,65,173,359,758.2504944,70.39503621,211.2008528,207.3277543,179.8510186,89.47583246,6.41923976,5.449158031,3.895396307,6.101312312
3,A01a,2,0,2,0,0,0,0,0,0,0,0,2,0,11,0,17,,,0,55,0,37,2,41,,1,2,161,,3,4,Stationsplein e.o.,A01,A,260454,3.63E+12,A Centrum,A01a Stationsplein e.o.,Stationsplein e.o.,2,0,2,0,0,0,0,0,0,0,0,2,0,3.070069217,0.075986986,1.900846982,0.594870121,0.272717669,0.225647459,0.031832659,,,0.004107222
4,A01b,603,33,195,219,120,36,15,7,4,4,74,229,38,132,47,148,3,4,248,542,131,387,235,462,9,17,699,1671,3,4,8,Hemelrijk,A01,A,62958,3.63E+12,A Centrum,A01b Hemelrijk,Hemelrijk,603,33,195,219,120,36,15,7,4,4,74,229,270,638.8469658,46.0764766,202.1197431,214.2128479,131.2763786,45.16151966,2.609727237,2.287435407,3.893777715,8.791179735
5,A01c,466,28,180,147,90,21,10,2,3,6,79,182,38,77,23,69,,2,194,427,109,234,187,442,5,11,551,1249,5,5,10,Nieuwendijk Noord,A01,A,65985,3.63E+12,A Centrum,A01c Nieuwendijk Noord,Nieuwendijk Noord,466,28,180,147,90,21,10,2,6,3,79,182,184,513.712446,34.48503321,182.8522861,175.6948129,99.05401327,21.62630053,5.075849062,0.064082454,1.770223757,5.728412293
6,A01d,813,65,266,264,149,69,14,5,5,9,94,316,68,200,68,212,4,6,294,765,157,482,277,621,2,11,864,2280,10,6,16,Spuistraat Noord,A01,A,56815,3.63E+12,A Centrum,A01d Spuistraat Noord,Spuistraat Noord,813,65,266,264,149,69,14,5,9,5,94,316,370,810.6634761,63.46761121,248.8258573,275.8302351,152.5871858,69.95258664,8.148472121,2.975294057,4.690964588,2.710570059
7,A01e,826,71,263,311,140,41,16,6,9,10,100,310,53,114,27,80,2,7,206,540,99,260,196,518,4,7,581,1512,4,7,14,Nieuwe Kerk e.o.,A01,A,84135,3.63E+12,A Centrum,A01e Nieuwe Kerk e.o.,Nieuwe Kerk e.o.,826,71,263,311,140,41,16,6,10,9,100,310,375,811.3479,68.25934812,267.7325353,291.926,141.6597009,41.77031565,6.267389905,3.308770337,1.383312386,4.288531969
8,A01f,731,75,225,208,161,62,7,5,5,6,89,279,75,134,49,168,2,5,172,397,135,363,153,404,3,6,584,1466,2,8,7,Spuistraat Zuid,A01,A,67125,3.63E+12,A Centrum,A01f Spuistraat Zuid,Spuistraat Zuid,731,75,225,208,161,62,7,5,6,5,89,279,340,720.3218141,78.59013395,197.467919,207.4371098,167.8939086,68.93274272,2.761695801,2.737965944,2.7146309,3.773483285
9,A01g,425,19,133,130,71,72,6,3,7,4,55,131,29,62,76,103,2,3,162,248,102,161,195,291,3,5,564,865,3,9,5,Begijnhofbuurt,A01,A,70628,3.63E+12,A Centrum,A01g Begijnhofbuurt,Begijnhofbuurt,425,19,133,130,71,72,6,3,4,7,55,131,219,420.5949578,24.55807379,148.7471203,126.0643171,69.4614909,51.76395575,2.519191196,1.455934373,1.473617061,2.232304222
